Bar,RateOfChange
0,0.109375
1,0.078125
2,0.078125
3,0.109375
4,0.125
5,0.0625
6,0.09375
7,0.109375
8,0.078125
9,0.0625
10,0.140625
11,0.1875
12,0.375
13,0.375
14,0.359375
15,0.328125
16,0.328125
17,0.3125
18,0.28125
19,0.21875
20,0.34375
21,0.34375
22,0.25
23,0.21875
24,0.390625
25,0.40625
26,0.046875
27,0.078125
28,0.46875
29,0.484375
30,0.484375
31,0.5
32,0.4375
33,0.40625
34,0.0625
35,0.078125
36,0.40625
37,0.40625
38,0.40625
39,0.359375
40,0.421875
41,0.375
42,0.0625
43,0.078125
44,0.328125
45,0.375
46,0.359375
47,0.390625
48,0.421875
49,0.375
50,0.375
51,0.015625
52,0.0
53,0.046875
54,0.140625
55,0.09375
56,0.015625
57,0.015625
58,0.046875
59,0.0
60,0.09375
61,0.09375
62,0.296875
63,0.265625
64,0.234375
65,0.234375
66,0.34375
67,0.328125
68,0.1875
69,0.15625
70,0.296875
71,0.21875
72,0.25
73,0.25
74,0.28125
75,0.25
76,0.09375
77,0.015625
78,0.0
79,0.015625
80,0.1875
81,0.265625
82,0.296875
83,0.328125
84,0.3125
85,0.28125
86,0.734375